Chr	WT O1	WT O2	MUT O1	MUT O2	WT Term Ratio	MUT Term Ratio	Corr Coeff	Euclidean Dist	FirstDer Corr	FirstDer Dist	SecDer Corr	SecDer Dist
10	417290	442802	417323	443458	0.685285355911	0.317658312608	0.777191194949	333.705963343	0.793669515418	55.9298984285	0.934186131488	23.2590150662
10	442802	453551	443458	455664	0.935901014048	0.523349172538	0.882591786828	100.924198403	0.974846006358	17.1640128727	0.968910963921	15.7765966709
10	453551	483032	455664	483599	0.681489773074	0.609199928405	0.877654895201	170.859835085	0.973415059229	18.4018188231	0.966460518742	13.7633087257
10	483032	540722	483599	540602	0.189946264517	0.507306632984	0.895351546487	540.532274052	0.896996109629	39.526394314	0.939213847337	21.6539498828
10	540722	613131	540602	613109	0.513016337748	0.354448536003	0.927194042012	627.399008804	0.857297305831	58.8095781523	0.939211720472	26.9162554219
10	613131	684060	613109	683948	0.387711655317	0.373551292367	0.995276588669	252.425554217	0.975920048449	36.7251617785	0.982357749086	20.1571879327
11	56050	98470	56017	98786	0.66438000943	0.653557483224	0.990388034858	102.463683836	0.960091839329	32.7696116615	0.969758528131	23.747358772
11	98470	153163	98786	153204	0.487576106632	0.524256679775	0.988800033419	182.625096876	0.960130123525	26.7296638597	0.962357532659	21.5543209319
11	153163	197290	153204	196547	0.599836834591	0.50654084858	0.949935786557	188.46919557	0.952386495732	26.0897009326	0.950942174918	20.1115888269
11	197290	213328	196547	213015	0.368624516773	0.408974981783	0.983661488893	59.8369761181	0.966255400474	20.4818011146	0.964377854145	14.3559868535
11	213328	258336	213015	258444	0.506865446143	0.284377820335	0.981778472328	160.381587727	0.951839816008	26.9174858345	0.933887410038	22.6249637168
11	258336	302969	258444	302778	0.318419106939	0.327265755402	0.992856208849	82.5439530726	0.972084399703	20.6766268047	0.977398947878	15.0336039459
11	302969	328992	302778	329598	0.65073204473	0.274981357196	0.802269484035	389.782590667	0.825833702866	55.3274588209	0.942024585685	27.8903420429
11	328992	389324	329598	389331	0.612345024199	0.813779652788	0.978713873195	174.386810887	0.94965420037	31.012775038	0.949475169203	26.5866650947
11	389324	418480	389331	417980	0.416758128687	0.445251143146	0.996617710475	106.489797965	0.973744381138	20.680817639	0.963720456411	16.984699565
11	418480	447620	417980	447552	0.129890185312	0.176991748952	0.965086756338	58.4257508538	0.959172225773	24.7233926587	0.949781552291	19.6104911636
11	447620	517596	447552	517848	0.622727792386	0.621173324229	0.985696683893	269.17101858	0.913531241543	43.6956621569	0.90222696704	33.9057549877
11	517596	612574	517848	612642	0.611362631346	0.640515222482	0.94725390566	278.283554828	0.911467211738	47.4034811112	0.91216224856	35.8255480884
12	91669	141200	92085	141275	0.493367789869	0.372148810734	0.928225121035	269.480184415	0.910239459835	31.4750150621	0.952676318613	13.8953821637
12	141200	155214	141275	155543	0.51726844584	0.467479674797	0.990465815412	27.3163023289	0.971363451203	10.490959232	0.970757446121	9.15865531288
12	155214	231046	155543	230764	0.347768751978	0.645092460882	0.92814312129	325.804777954	0.88129009506	45.1148909674	0.954144540533	16.5795828205
12	231046	287589	230764	288484	0.941425110093	0.885793485793	0.967971497868	294.831643353	0.970850587856	22.4522527842	0.973728711654	13.0935537348
12	287589	373496	288484	373392	0.23591791123	0.483517454186	0.895852597213	534.896582828	0.874189162666	37.9788069562	0.951906411389	13.4791719501
12	373496	412082	373392	412577	0.656222464106	0.620645655225	0.996596487707	177.358609333	0.980768577708	28.6007632178	0.958198730193	16.3598829867
12	412082	512618	412577	512394	0.495071417204	0.23324684172	0.981820278838	141.753033535	0.971593763791	23.2985085394	0.9746319984	11.9506146705
12	512618	602777	512394	604533	0.44523563926	0.446900878021	0.997062660253	315.225650835	0.937880079668	47.280936032	0.87814794525	24.6197241525
12	602777	660144	604533	659814	0.595830355431	0.300926177168	0.624077964253	439.167392484	0.762454631295	46.699945365	0.793568106473	25.1774239331
12	660144	744276	659814	744559	0.4783910997	0.473066257596	0.974625914426	213.647162061	0.918687250141	34.3155484134	0.941355415319	16.4226875326
12	744276	793353	744559	792961	0.560384701591	0.813706045205	0.919098196897	353.564869321	0.893249153399	36.5213606231	0.940095362665	16.1305054841
12	793353	889233	792961	889274	0.699269920734	0.698067758247	0.972750109093	170.376135843	0.901966282813	31.7849201698	0.888952848192	19.3388622275
12	889233	1007193	889274	1006852	0.42497456765	0.427614009424	0.965273334367	138.026631276	0.905581505781	34.4514647238	0.925306231455	16.3133787976
13	32309	94688	32292	94384	0.558793824845	0.620289248212	0.983779436199	296.494509541	0.931317388624	34.273719679	0.951951391864	18.5321055016
13	94688	137521	94384	137440	0.44657156865	0.488456893348	0.986715431885	158.983390804	0.978859209028	22.1790692047	0.985088358558	11.8099339817
13	137521	228379	137440	228016	0.524076030729	0.494038155803	0.760025683116	555.132407796	0.830876511165	68.6007709282	0.828830356285	32.9732548641
13	228379	263631	228016	263882	0.159451945989	0.311464897117	0.9347807526	219.002975025	0.947063889492	23.3679554864	0.96770400103	8.94901897517
13	263631	286838	263882	286831	0.4374542164	0.358882739989	0.965964563596	101.508007809	0.931070613591	30.2420993226	0.968557921868	14.9765003183
13	286838	432015	286831	431992	0.550266226744	0.47287494575	0.911504617198	559.190574629	0.895255311212	60.8247963601	0.917156373109	26.376167097
13	432015	470750	431992	469429	0.650083903446	0.800838742421	0.936581300643	122.646768617	0.89836646596	24.7671511578	0.935450197506	12.2345333443
13	470750	505201	469429	506058	0.277524600157	0.225695487182	0.632245830883	81.5076556674	0.817405856556	23.3944441451	0.843775749673	11.1607839064
13	505201	536133	506058	536260	0.123205741627	0.0449639096749	0.934948067482	50.2729824044	0.985207034517	14.6973228408	0.981851075988	9.99071603236
13	536133	611877	536260	611828	0.589327207436	0.357611687487	0.992180861171	128.202113713	0.969854248065	23.1420348575	0.978620447454	12.3207441969
13	611877	649215	611828	649230	0.401119502919	0.420432062457	0.994644494543	56.8504258409	0.975891001526	16.1132463321	0.981349268794	10.3916420371
13	649215	687643	649230	687166	0.841105443947	0.909057359764	0.993592274088	107.413570891	0.976758462068	16.4145054951	0.976744378821	9.44096247579
13	687643	759960	687166	759145	0.484256813751	0.542616596507	0.985278554811	182.723086952	0.957238199415	21.7476670067	0.956077155221	10.3375072139
13	759960	815364	759145	815057	0.112031622266	0.226874374016	0.920029221271	368.667219187	0.908804726357	31.452467236	0.935202165086	17.3214189718
14	63881	89513	63225	89556	0.0907459425718	0.144012760624	0.928813264271	96.5356295992	0.964203901469	17.6911645267	0.96242555944	12.758398872
14	89513	169880	89556	169628	0.74228228004	0.493849285643	0.901280408948	274.896281392	0.940674849861	31.9246198261	0.967186092055	17.2954763463
14	169880	195488	169628	195140	0.549086223055	0.602971150831	0.984260673934	42.0363163664	0.948560949703	16.6472350443	0.967156641532	11.7244407807
14	195488	250804	195140	251325	0.444102972015	0.400195781792	0.972096150296	98.704875919	0.910889558024	24.4949127533	0.944563281957	14.1722911835
14	250804	281244	251325	280736	0.299770039422	0.250654517017	0.973820945541	60.9824116134	0.985060228948	10.9021068298	0.970828556172	8.98121176211
14	281244	321640	280736	321296	0.215343103278	0.221400394477	0.996773101645	115.477583397	0.987561323659	15.165268095	0.986648799608	12.1266678588
14	321640	412474	321296	412360	0.716438778431	0.627877097426	0.953801109426	228.177552137	0.947224729133	30.4349673978	0.959511878018	18.3763761852
14	412474	449239	412360	449540	0.522018223854	0.791877353416	0.929007796641	182.629743277	0.921167062301	27.5655223189	0.96003132597	15.6469855141
14	449239	499122	449540	498651	0.478960768198	0.468611919936	0.986133035659	125.064048573	0.948996186069	22.9500757011	0.939225764295	17.7386475
14	499122	562578	498651	563983	0.199019793243	0.224652543929	0.984657842797	117.283388455	0.953520347572	36.1677240778	0.901667476705	23.3916573335
14	562578	609997	563983	609909	0.548071448154	0.555241039934	0.913790694153	298.849337578	0.874634539961	43.7507281737	0.95034913564	18.594512053
14	609997	634761	609909	635287	0.638063317719	0.793206714477	0.845486697281	165.999084478	0.851742402781	36.8106693619	0.950011788768	18.9443444648
14	634761	691139	635287	691013	0.749689595232	0.718174640204	0.988903288107	209.320615505	0.970960547659	18.6206002429	0.965303819603	13.946553499
14	691139	713456	691013	712055	0.519021373841	0.583832335329	0.993821345117	44.551985043	0.990661284188	8.0272610443	0.9877985697	5.63760856386
14	713456	739099	712055	738332	0.342705611668	0.493435323667	0.933118936641	67.4942536395	0.927353576833	18.3315042236	0.944346593866	13.6796332724
15	36130	120349	35975	122546	0.640746149919	0.506203001005	0.891605977659	375.552869236	0.812651353731	44.9588351269	0.934066614586	17.4586991298
15	120349	167607	122546	167909	0.404460620424	0.404117893437	0.955228646347	239.721145658	0.915265026912	38.0713307029	0.923672721334	17.4535670098
15	167607	227640	167909	227480	0.534889144304	0.609323328465	0.978124682676	340.505882664	0.942506157409	39.3707065294	0.959542217034	17.7436841995
15	227640	277919	227480	277916	0.457785556594	0.526964866365	0.978391615838	352.253143345	0.94997815076	42.6767353116	0.963630704618	19.5846899962
15	277919	307337	277916	309068	0.890033312938	0.769934514638	0.983320681934	174.473814237	0.96656967446	19.3474507669	0.954240042056	12.2706636234
15	307337	336917	309068	337721	0.405578093306	0.320873905001	0.923846541703	50.0811837133	0.957724701869	17.3504689313	0.936080551387	11.1455984405
15	336917	436558	337721	436737	0.486315873988	0.330345600711	0.965088498964	452.803876348	0.874199660677	39.5653002528	0.918298343529	19.893825128
15	436558	463890	436737	464241	0.591138592126	0.462223676556	0.974430859219	150.679097265	0.978727256953	18.9783685126	0.977849362302	11.1416465059
15	463890	489456	464241	488464	0.605452554174	0.735540601907	0.989111160023	113.974272303	0.976374153637	18.0620309001	0.975281587872	9.92374208217
15	489456	566602	488464	565943	0.536586472403	0.485996205423	0.957713827435	221.090351638	0.922622440981	25.7644254843	0.942653949659	11.8547720057
